region,day,Woolworths routes,Outsourced routes
3,1,"['Distribution Centre Auckland', 'Woolworths Manurewa', 'Woolworths Mangere East', 'Distribution Centre Auckland']",
3,1,"['Distribution Centre Auckland', 'Woolworths Onehunga', 'Woolworths Airport', 'Distribution Centre Auckland']",
4,1,"['Distribution Centre Auckland', 'Woolworths Northwest', 'FreshChoice Ranui', 'Woolworths Te Atatu South', 'Distribution Centre Auckland']",
4,1,"['Distribution Centre Auckland', 'Woolworths Te Atatu North', 'Woolworths Westgate', 'Distribution Centre Auckland']",
4,1,"['Distribution Centre Auckland', 'Woolworths Hobsonville', 'FreshChoice Palomino', 'Woolworths Lincoln Road', 'Distribution Centre Auckland']",
4,1,"['Distribution Centre Auckland', 'Woolworths Henderson', 'Distribution Centre Auckland']",
5,1,"['Distribution Centre Auckland', 'SuperValue Avondale', 'FreshChoice Titirangi', 'Woolworths Lynnmall', 'Distribution Centre Auckland']",
5,1,"['Distribution Centre Auckland', 'Woolworths Mt Roskill', 'Woolworths Blockhouse Bay', 'Distribution Centre Auckland']",
5,1,"['Distribution Centre Auckland', 'Woolworths Three Kings', 'Distribution Centre Auckland']",
6,1,"['Distribution Centre Auckland', 'Woolworths Glenfield', 'Woolworths Takapuna', 'Woolworths Milford', 'Distribution Centre Auckland']",
6,1,"['Distribution Centre Auckland', 'Woolworths Hauraki Corner', 'Woolworths Northcote', 'Distribution Centre Auckland']",
6,1,"['Distribution Centre Auckland', 'Metro Herne Bay', 'Distribution Centre Auckland']",
6,1,"['Distribution Centre Auckland', 'Metro Halsey Street', 'Metro Albert Street', 'Woolworths Birkenhead', 'Distribution Centre Auckland']",
7,1,"['Distribution Centre Auckland', 'Woolworths Browns Bay', 'Woolworths Mairangi Bay', 'Distribution Centre Auckland']",
7,1,"['Distribution Centre Auckland', 'Woolworths Greville Road', 'Woolworths Sunnynook', 'Distribution Centre Auckland']",
0,2,"['Distribution Centre Auckland', 'FreshChoice Epsom', 'Woolworths Greenlane', 'Woolworths Newmarket', 'FreshChoice Glen Eden', 'Distribution Centre Auckland']",
0,2,"['Distribution Centre Auckland', 'Woolworths Ponsonby', 'Woolworths Grey Lynn', 'Distribution Centre Auckland']",
0,2,"['Distribution Centre Auckland', 'Woolworths Pt Chevalier', 'Woolworths Auckland City', 'Distribution Centre Auckland']",
0,2,"['Distribution Centre Auckland', 'Woolworths St Lukes', 'Distribution Centre Auckland']",
0,2,"['Distribution Centre Auckland', 'Woolworths Auckland Victoria Street West', 'Woolworths Mt Wellington', 'Distribution Centre Auckland']",
0,2,"['Distribution Centre Auckland', 'Woolworths Mt Eden', 'Distribution Centre Auckland']",
1,2,"['Distribution Centre Auckland', 'Woolworths Papakura', 'FreshChoice Papakura', 'Woolworths Roselands', 'Distribution Centre Auckland']",
1,2,"['Distribution Centre Auckland', 'Woolworths Waiata Shores', 'Woolworths Takanini', 'Distribution Centre Auckland']",
2,2,"['Distribution Centre Auckland', 'Woolworths Pakuranga', 'Distribution Centre Auckland']",
2,2,"['Distribution Centre Auckland', 'Woolworths Meadowlands', 'FreshChoice Half Moon Bay', 'Distribution Centre Auckland']",
2,2,"['Distribution Centre Auckland', 'Woolworths Highland Park', 'Woolworths Howick', 'Woolworths Botany Downs', 'Distribution Centre Auckland']",
2,2,"['Distribution Centre Auckland', 'Woolworths St Johns', 'Woolworths Meadowbank', 'Distribution Centre Auckland']",
3,2,"['Distribution Centre Auckland', 'FreshChoice Flat Bush', 'Woolworths Manukau', 'Woolworths Mangere East', 'Distribution Centre Auckland']",
3,2,"['Distribution Centre Auckland', 'FreshChoice Otahuhu', 'Woolworths Papatoetoe', 'Woolworths Manukau Mall', 'FreshChoice Mangere Bridge', 'Distribution Centre Auckland']",
3,2,"['Distribution Centre Auckland', 'Woolworths Onehunga', 'Distribution Centre Auckland']",
3,2,"['Distribution Centre Auckland', 'Woolworths Airport', 'Woolworths Manurewa', 'Woolworths Mangere Mall', 'Distribution Centre Auckland']",
4,2,"['Distribution Centre Auckland', 'Woolworths Te Atatu North', 'Woolworths Lincoln Road', 'Distribution Centre Auckland']",
4,2,"['Distribution Centre Auckland', 'Woolworths Northwest', 'Woolworths Westgate', 'FreshChoice Ranui', 'Distribution Centre Auckland']",
4,2,"['Distribution Centre Auckland', 'Woolworths Hobsonville', 'FreshChoice Palomino', 'Woolworths Te Atatu South', 'Distribution Centre Auckland']",
4,2,"['Distribution Centre Auckland', 'Woolworths Henderson', 'Distribution Centre Auckland']",
5,2,"['Distribution Centre Auckland', 'Woolworths Lynnmall', 'FreshChoice Titirangi', 'SuperValue Avondale', 'Woolworths Mt Roskill', 'Distribution Centre Auckland']",
5,2,"['Distribution Centre Auckland', 'Woolworths Three Kings', 'Distribution Centre Auckland']",
5,2,"['Distribution Centre Auckland', 'Woolworths Blockhouse Bay', 'Distribution Centre Auckland']",
6,2,"['Distribution Centre Auckland', 'Metro Albert Street', 'Distribution Centre Auckland']",
6,2,"['Distribution Centre Auckland', 'Woolworths Glenfield', 'Distribution Centre Auckland']",
6,2,"['Distribution Centre Auckland', 'Woolworths Hauraki Corner', 'Distribution Centre Auckland']",
6,2,"['Distribution Centre Auckland', 'Metro Halsey Street', 'Woolworths Milford', 'Woolworths Takapuna', 'Woolworths Northcote', 'Distribution Centre Auckland']",
6,2,"['Distribution Centre Auckland', 'Metro Herne Bay', 'Distribution Centre Auckland']",
6,2,"['Distribution Centre Auckland', 'Woolworths Birkenhead', 'Distribution Centre Auckland']",
7,2,"['Distribution Centre Auckland', 'Woolworths Sunnynook', 'Woolworths Greville Road', 'Woolworths Mairangi Bay', 'Distribution Centre Auckland']",
7,2,"['Distribution Centre Auckland', 'Woolworths Browns Bay', 'Distribution Centre Auckland']",
0,3,"['Distribution Centre Auckland', 'Woolworths Ponsonby', 'Woolworths Greenlane', 'Distribution Centre Auckland']",
0,3,"['Distribution Centre Auckland', 'Woolworths Pt Chevalier', 'Woolworths Grey Lynn', 'Distribution Centre Auckland']",
0,3,"['Distribution Centre Auckland', 'Woolworths Newmarket', 'Woolworths Mt Eden', 'Distribution Centre Auckland']",
0,3,"['Distribution Centre Auckland', 'Woolworths Auckland Victoria Street West', 'Woolworths Mt Wellington', 'Distribution Centre Auckland']",
0,3,"['Distribution Centre Auckland', 'FreshChoice Epsom', 'Woolworths Auckland City', 'FreshChoice Glen Eden', 'Woolworths St Lukes', 'Distribution Centre Auckland']",
1,3,"['Distribution Centre Auckland', 'FreshChoice Papakura', 'Woolworths Papakura', 'Woolworths Takanini', 'Distribution Centre Auckland']",
1,3,"['Distribution Centre Auckland', 'Woolworths Roselands', 'Distribution Centre Auckland']",
1,3,"['Distribution Centre Auckland', 'Woolworths Waiata Shores', 'Distribution Centre Auckland']",
2,3,"['Distribution Centre Auckland', 'Woolworths Pakuranga', 'Woolworths Meadowlands', 'Woolworths Meadowbank', 'Distribution Centre Auckland']",
2,3,"['Distribution Centre Auckland', 'Woolworths Howick', 'FreshChoice Half Moon Bay', 'Distribution Centre Auckland']",
2,3,"['Distribution Centre Auckland', 'Woolworths Botany Downs', 'Woolworths Highland Park', 'Distribution Centre Auckland']",
2,3,"['Distribution Centre Auckland', 'Woolworths St Johns', 'Distribution Centre Auckland']",
3,3,"['Distribution Centre Auckland', 'Woolworths Manukau Mall', 'Woolworths Manukau', 'Distribution Centre Auckland']",
3,3,"['Distribution Centre Auckland', 'Woolworths Mangere Mall', 'Distribution Centre Auckland']",
3,3,"['Distribution Centre Auckland', 'Woolworths Papatoetoe', 'Woolworths Mangere East', 'Distribution Centre Auckland']",
3,3,"['Distribution Centre Auckland', 'Woolworths Airport', 'Distribution Centre Auckland']",
3,3,"['Distribution Centre Auckland', 'Woolworths Onehunga', 'Distribution Centre Auckland']",
3,3,"['Distribution Centre Auckland', 'FreshChoice Otahuhu', 'FreshChoice Flat Bush', 'Woolworths Manurewa', 'FreshChoice Mangere Bridge', 'Distribution Centre Auckland']",
4,3,"['Distribution Centre Auckland', 'Woolworths Northwest', 'Woolworths Te Atatu South', 'Distribution Centre Auckland']",
4,3,"['Distribution Centre Auckland', 'Woolworths Hobsonville', 'FreshChoice Palomino', 'Woolworths Lincoln Road', 'Distribution Centre Auckland']",
4,3,"['Distribution Centre Auckland', 'Woolworths Henderson', 'Distribution Centre Auckland']",
4,3,"['Distribution Centre Auckland', 'Woolworths Te Atatu North', 'Woolworths Westgate', 'FreshChoice Ranui', 'Distribution Centre Auckland']",
5,3,"['Distribution Centre Auckland', 'Woolworths Three Kings', 'Woolworths Mt Roskill', 'Distribution Centre Auckland']",
5,3,"['Distribution Centre Auckland', 'Woolworths Lynnmall', 'FreshChoice Titirangi', 'SuperValue Avondale', 'Woolworths Blockhouse Bay', 'Distribution Centre Auckland']",
6,3,"['Distribution Centre Auckland', 'Woolworths Milford', 'Distribution Centre Auckland']",
6,3,"['Distribution Centre Auckland', 'Woolworths Glenfield', 'Distribution Centre Auckland']",
6,3,"['Distribution Centre Auckland', 'Woolworths Hauraki Corner', 'Distribution Centre Auckland']",
6,3,"['Distribution Centre Auckland', 'Woolworths Northcote', 'Distribution Centre Auckland']",
6,3,"['Distribution Centre Auckland', 'Metro Herne Bay', 'Metro Halsey Street', 'Metro Albert Street', 'Woolworths Takapuna', 'Woolworths Birkenhead', 'Distribution Centre Auckland']",
7,3,"['Distribution Centre Auckland', 'Woolworths Sunnynook', 'Distribution Centre Auckland']",
7,3,"['Distribution Centre Auckland', 'Woolworths Browns Bay', 'Woolworths Greville Road', 'Woolworths Mairangi Bay', 'Distribution Centre Auckland']",
0,4,"['Distribution Centre Auckland', 'Woolworths Pt Chevalier', 'Woolworths Greenlane', 'Woolworths Auckland City', 'FreshChoice Epsom', 'Distribution Centre Auckland']",
0,4,"['Distribution Centre Auckland', 'Woolworths Grey Lynn', 'FreshChoice Glen Eden', 'Distribution Centre Auckland']",
0,4,"['Distribution Centre Auckland', 'Woolworths Newmarket', 'Woolworths Mt Eden', 'Distribution Centre Auckland']",
0,4,"['Distribution Centre Auckland', 'Woolworths Ponsonby', 'Woolworths St Lukes', 'Distribution Centre Auckland']",
0,4,"['Distribution Centre Auckland', 'Woolworths Auckland Victoria Street West', 'Woolworths Mt Wellington', 'Distribution Centre Auckland']",
1,4,"['Distribution Centre Auckland', 'Woolworths Waiata Shores', 'Woolworths Takanini', 'Distribution Centre Auckland']",
1,4,"['Distribution Centre Auckland', 'Woolworths Roselands', 'Distribution Centre Auckland']",
1,4,"['Distribution Centre Auckland', 'FreshChoice Papakura', 'Woolworths Papakura', 'Distribution Centre Auckland']",
2,4,"['Distribution Centre Auckland', 'Woolworths Highland Park', 'Woolworths Meadowlands', 'Woolworths Pakuranga', 'Distribution Centre Auckland']",
2,4,"['Distribution Centre Auckland', 'Woolworths Howick', 'FreshChoice Half Moon Bay', 'Distribution Centre Auckland']",
2,4,"['Distribution Centre Auckland', 'Woolworths Botany Downs', 'Woolworths St Johns', 'Distribution Centre Auckland']",
2,4,"['Distribution Centre Auckland', 'Woolworths Meadowbank', 'Distribution Centre Auckland']",
3,4,"['Distribution Centre Auckland', 'Woolworths Papatoetoe', 'Woolworths Manukau', 'FreshChoice Otahuhu', 'Distribution Centre Auckland']",
3,4,"['Distribution Centre Auckland', 'Woolworths Mangere Mall', 'Distribution Centre Auckland']",
3,4,"['Distribution Centre Auckland', 'FreshChoice Flat Bush', 'Woolworths Airport', 'Distribution Centre Auckland']",
3,4,"['Distribution Centre Auckland', 'Woolworths Onehunga', 'Distribution Centre Auckland']",
3,4,"['Distribution Centre Auckland', 'Woolworths Manukau Mall', 'Woolworths Manurewa', 'Woolworths Mangere East', 'Distribution Centre Auckland']",
3,4,"['Distribution Centre Auckland', 'FreshChoice Mangere Bridge', 'Distribution Centre Auckland']",
4,4,"['Distribution Centre Auckland', 'Woolworths Te Atatu North', 'Woolworths Westgate', 'FreshChoice Ranui', 'Distribution Centre Auckland']",
4,4,"['Distribution Centre Auckland', 'Woolworths Hobsonville', 'Woolworths Northwest', 'Woolworths Te Atatu South', 'Distribution Centre Auckland']",
4,4,"['Distribution Centre Auckland', 'Woolworths Henderson', 'Woolworths Lincoln Road', 'Distribution Centre Auckland']",
4,4,"['Distribution Centre Auckland', 'FreshChoice Palomino', 'Distribution Centre Auckland']",
5,4,"['Distribution Centre Auckland', 'Woolworths Lynnmall', 'Distribution Centre Auckland']",
5,4,"['Distribution Centre Auckland', 'Woolworths Three Kings', 'Woolworths Blockhouse Bay', 'Distribution Centre Auckland']",
5,4,"['Distribution Centre Auckland', 'Woolworths Mt Roskill', 'FreshChoice Titirangi', 'SuperValue Avondale', 'Distribution Centre Auckland']",
6,4,"['Distribution Centre Auckland', 'Woolworths Milford', 'Woolworths Takapuna', 'Distribution Centre Auckland']",
6,4,"['Distribution Centre Auckland', 'Metro Halsey Street', 'Metro Albert Street', 'Woolworths Birkenhead', 'Distribution Centre Auckland']",
6,4,"['Distribution Centre Auckland', 'Woolworths Glenfield', 'Distribution Centre Auckland']",
6,4,"['Distribution Centre Auckland', 'Woolworths Hauraki Corner', 'Woolworths Northcote', 'Distribution Centre Auckland']",
6,4,"['Distribution Centre Auckland', 'Metro Herne Bay', 'Distribution Centre Auckland']",
7,4,"['Distribution Centre Auckland', 'Woolworths Browns Bay', 'Woolworths Mairangi Bay', 'Distribution Centre Auckland']",
7,4,"['Distribution Centre Auckland', 'Woolworths Greville Road', 'Woolworths Sunnynook', 'Distribution Centre Auckland']",
0,5,"['Distribution Centre Auckland', 'FreshChoice Epsom', 'Woolworths Ponsonby', 'Woolworths Greenlane', 'Distribution Centre Auckland']",
0,5,"['Distribution Centre Auckland', 'Woolworths Auckland Victoria Street West', 'Woolworths Auckland City', 'Distribution Centre Auckland']",
0,5,"['Distribution Centre Auckland', 'Woolworths Grey Lynn', 'FreshChoice Glen Eden', 'Distribution Centre Auckland']",
0,5,"['Distribution Centre Auckland', 'Woolworths Pt Chevalier', 'Woolworths St Lukes', 'Distribution Centre Auckland']",
0,5,"['Distribution Centre Auckland', 'Woolworths Mt Wellington', 'Distribution Centre Auckland']",
0,5,"['Distribution Centre Auckland', 'Woolworths Newmarket', 'Woolworths Mt Eden', 'Distribution Centre Auckland']",
1,5,"['Distribution Centre Auckland', 'Woolworths Waiata Shores', 'Woolworths Papakura', 'Woolworths Takanini', 'Distribution Centre Auckland']",
1,5,"['Distribution Centre Auckland', 'FreshChoice Papakura', 'Woolworths Roselands', 'Distribution Centre Auckland']",
2,5,"['Distribution Centre Auckland', 'Woolworths Highland Park', 'Woolworths Howick', 'Distribution Centre Auckland']",
2,5,"['Distribution Centre Auckland', 'Woolworths Meadowlands', 'FreshChoice Half Moon Bay', 'Distribution Centre Auckland']",
2,5,"['Distribution Centre Auckland', 'Woolworths Botany Downs', 'Woolworths Pakuranga', 'Distribution Centre Auckland']",
2,5,"['Distribution Centre Auckland', 'Woolworths Meadowbank', 'Distribution Centre Auckland']",
2,5,"['Distribution Centre Auckland', 'Woolworths St Johns', 'Distribution Centre Auckland']",
3,5,"['Distribution Centre Auckland', 'FreshChoice Otahuhu', 'Woolworths Papatoetoe', 'Woolworths Mangere Mall', 'Distribution Centre Auckland']",
3,5,"['Distribution Centre Auckland', 'Woolworths Mangere East', 'Woolworths Airport', 'Woolworths Manukau Mall', 'Distribution Centre Auckland']",
3,5,"['Distribution Centre Auckland', 'FreshChoice Flat Bush', 'Woolworths Onehunga', 'Distribution Centre Auckland']",
3,5,"['Distribution Centre Auckland', 'Woolworths Manukau', 'Woolworths Manurewa', 'FreshChoice Mangere Bridge', 'Distribution Centre Auckland']",
4,5,"['Distribution Centre Auckland', 'Woolworths Northwest', 'Woolworths Westgate', 'Woolworths Hobsonville', 'Distribution Centre Auckland']",
4,5,"['Distribution Centre Auckland', 'Woolworths Te Atatu South', 'Woolworths Lincoln Road', 'Distribution Centre Auckland']",
4,5,"['Distribution Centre Auckland', 'Woolworths Henderson', 'Distribution Centre Auckland']",
4,5,"['Distribution Centre Auckland', 'Woolworths Te Atatu North', 'FreshChoice Ranui', 'FreshChoice Palomino', 'Distribution Centre Auckland']",
5,5,"['Distribution Centre Auckland', 'Woolworths Lynnmall', 'Distribution Centre Auckland']",
5,5,"['Distribution Centre Auckland', 'Woolworths Three Kings', 'Woolworths Mt Roskill', 'FreshChoice Titirangi', 'SuperValue Avondale', 'Distribution Centre Auckland']",
5,5,"['Distribution Centre Auckland', 'Woolworths Blockhouse Bay', 'Distribution Centre Auckland']",
6,5,"['Distribution Centre Auckland', 'Woolworths Glenfield', 'Woolworths Takapuna', 'Distribution Centre Auckland']",
6,5,"['Distribution Centre Auckland', 'Metro Albert Street', 'Woolworths Hauraki Corner', 'Woolworths Milford', 'Distribution Centre Auckland']",
6,5,"['Distribution Centre Auckland', 'Metro Herne Bay', 'Distribution Centre Auckland']",
6,5,"['Distribution Centre Auckland', 'Metro Halsey Street', 'Woolworths Birkenhead', 'Woolworths Northcote', 'Distribution Centre Auckland']",
7,5,"['Distribution Centre Auckland', 'Woolworths Browns Bay', 'Woolworths Mairangi Bay', 'Woolworths Sunnynook', 'Distribution Centre Auckland']",
7,5,"['Distribution Centre Auckland', 'Woolworths Greville Road', 'Distribution Centre Auckland']",
0,6,"['Distribution Centre Auckland', 'Woolworths Newmarket', 'Woolworths Greenlane', 'Distribution Centre Auckland']",
0,6,"['Distribution Centre Auckland', 'Woolworths Auckland Victoria Street West', 'Woolworths Auckland City', 'Woolworths Ponsonby', 'FreshChoice Epsom', 'Distribution Centre Auckland']",
0,6,"['Distribution Centre Auckland', 'Woolworths Pt Chevalier', 'Woolworths Grey Lynn', 'Distribution Centre Auckland']",
0,6,"['Distribution Centre Auckland', 'Woolworths St Lukes', 'Distribution Centre Auckland']",
0,6,"['Distribution Centre Auckland', 'Woolworths Mt Wellington', 'Distribution Centre Auckland']",
0,6,"['Distribution Centre Auckland', 'Woolworths Mt Eden', 'Distribution Centre Auckland']",
0,6,"['Distribution Centre Auckland', 'FreshChoice Glen Eden', 'Distribution Centre Auckland']",
1,6,"['Distribution Centre Auckland', 'Woolworths Waiata Shores', 'Woolworths Takanini', 'FreshChoice Papakura', 'Woolworths Roselands', 'Distribution Centre Auckland']",
1,6,"['Distribution Centre Auckland', 'Woolworths Papakura', 'Distribution Centre Auckland']",
2,6,"['Distribution Centre Auckland', 'Woolworths Howick', 'Woolworths Botany Downs', 'Distribution Centre Auckland']",
2,6,"['Distribution Centre Auckland', 'Woolworths Highland Park', 'Woolworths Meadowlands', 'Distribution Centre Auckland']",
2,6,"['Distribution Centre Auckland', 'Woolworths Pakuranga', 'Woolworths St Johns', 'Woolworths Meadowbank', 'Distribution Centre Auckland']",
2,6,"['Distribution Centre Auckland', 'FreshChoice Half Moon Bay', 'Distribution Centre Auckland']",
3,6,"['Distribution Centre Auckland', 'Woolworths Manukau', 'Woolworths Manurewa', 'FreshChoice Mangere Bridge', 'Distribution Centre Auckland']",
3,6,"['Distribution Centre Auckland', 'Woolworths Mangere East', 'Distribution Centre Auckland']",
3,6,"['Distribution Centre Auckland', 'Woolworths Papatoetoe', 'FreshChoice Flat Bush', 'Woolworths Onehunga', 'Distribution Centre Auckland']",
3,6,"['Distribution Centre Auckland', 'FreshChoice Otahuhu', 'Woolworths Manukau Mall', 'Woolworths Mangere Mall', 'Distribution Centre Auckland']",
3,6,"['Distribution Centre Auckland', 'Woolworths Airport', 'Distribution Centre Auckland']",
4,6,"['Distribution Centre Auckland', 'Woolworths Hobsonville', 'Woolworths Te Atatu South', 'Distribution Centre Auckland']",
4,6,"['Distribution Centre Auckland', 'Woolworths Te Atatu North', 'Woolworths Lincoln Road', 'Distribution Centre Auckland']",
4,6,"['Distribution Centre Auckland', 'Woolworths Northwest', 'Woolworths Westgate', 'FreshChoice Ranui', 'Distribution Centre Auckland']",
4,6,"['Distribution Centre Auckland', 'FreshChoice Palomino', 'Woolworths Henderson', 'Distribution Centre Auckland']",
5,6,"['Distribution Centre Auckland', 'SuperValue Avondale', 'FreshChoice Titirangi', 'Woolworths Lynnmall', 'Distribution Centre Auckland']",
5,6,"['Distribution Centre Auckland', 'Woolworths Three Kings', 'Woolworths Mt Roskill', 'Distribution Centre Auckland']",
5,6,"['Distribution Centre Auckland', 'Woolworths Blockhouse Bay', 'Distribution Centre Auckland']",
6,6,"['Distribution Centre Auckland', 'Metro Halsey Street', 'Distribution Centre Auckland']",
6,6,"['Distribution Centre Auckland', 'Woolworths Glenfield', 'Woolworths Birkenhead', 'Distribution Centre Auckland']",
6,6,"['Distribution Centre Auckland', 'Metro Herne Bay', 'Woolworths Takapuna', 'Woolworths Hauraki Corner', 'Distribution Centre Auckland']",
6,6,"['Distribution Centre Auckland', 'Metro Albert Street', 'Woolworths Milford', 'Woolworths Northcote', 'Distribution Centre Auckland']",
7,6,"['Distribution Centre Auckland', 'Woolworths Mairangi Bay', 'Distribution Centre Auckland']",
7,6,"['Distribution Centre Auckland', 'Woolworths Browns Bay', 'Distribution Centre Auckland']",
7,6,"['Distribution Centre Auckland', 'Woolworths Greville Road', 'Woolworths Sunnynook', 'Distribution Centre Auckland']",
0,7,"['Distribution Centre Auckland', 'Woolworths Ponsonby', 'Woolworths Grey Lynn', 'Distribution Centre Auckland']",
0,7,"['Distribution Centre Auckland', 'Woolworths Auckland Victoria Street West', 'Woolworths Auckland City', 'FreshChoice Glen Eden', 'Distribution Centre Auckland']",
0,7,"['Distribution Centre Auckland', 'Woolworths Pt Chevalier', 'Woolworths Greenlane', 'Distribution Centre Auckland']",
0,7,"['Distribution Centre Auckland', 'Woolworths Mt Wellington', 'Woolworths Newmarket', 'FreshChoice Epsom', 'Distribution Centre Auckland']",
0,7,"['Distribution Centre Auckland', 'Woolworths Mt Eden', 'Woolworths St Lukes', 'Distribution Centre Auckland']",
1,7,"['Distribution Centre Auckland', 'Woolworths Waiata Shores', 'FreshChoice Papakura', 'Woolworths Roselands', 'Distribution Centre Auckland']",
1,7,"['Distribution Centre Auckland', 'Woolworths Papakura', 'Woolworths Takanini', 'Distribution Centre Auckland']",
2,7,"['Distribution Centre Auckland', 'Woolworths Howick', 'Woolworths Botany Downs', 'Distribution Centre Auckland']",
2,7,"['Distribution Centre Auckland', 'Woolworths Highland Park', 'FreshChoice Half Moon Bay', 'Distribution Centre Auckland']",
2,7,"['Distribution Centre Auckland', 'Woolworths Pakuranga', 'Woolworths Meadowlands', 'Woolworths Meadowbank', 'Distribution Centre Auckland']",
2,7,"['Distribution Centre Auckland', 'Woolworths St Johns', 'Distribution Centre Auckland']",
3,7,"['Distribution Centre Auckland', 'Woolworths Manukau', 'Woolworths Papatoetoe', 'FreshChoice Flat Bush', 'FreshChoice Mangere Bridge', 'Distribution Centre Auckland']",
3,7,"['Distribution Centre Auckland', 'Woolworths Mangere East', 'Distribution Centre Auckland']",
3,7,"['Distribution Centre Auckland', 'FreshChoice Otahuhu', 'Woolworths Manukau Mall', 'Woolworths Mangere Mall', 'Distribution Centre Auckland']",
3,7,"['Distribution Centre Auckland', 'Woolworths Onehunga', 'Distribution Centre Auckland']",
3,7,"['Distribution Centre Auckland', 'Woolworths Manurewa', 'Distribution Centre Auckland']",
4,7,"['Distribution Centre Auckland', 'Woolworths Te Atatu North', 'Woolworths Westgate', 'Woolworths Te Atatu South', 'Distribution Centre Auckland']",
4,7,"['Distribution Centre Auckland', 'FreshChoice Ranui', 'FreshChoice Palomino', 'Woolworths Lincoln Road', 'Distribution Centre Auckland']",
4,7,"['Distribution Centre Auckland', 'Woolworths Hobsonville', 'Woolworths Northwest', 'Distribution Centre Auckland']",
4,7,"['Distribution Centre Auckland', 'Woolworths Henderson', 'Distribution Centre Auckland']",
5,7,"['Distribution Centre Auckland', 'Woolworths Mt Roskill', 'Woolworths Blockhouse Bay', 'Woolworths Lynnmall', 'Distribution Centre Auckland']",
5,7,"['Distribution Centre Auckland', 'SuperValue Avondale', 'FreshChoice Titirangi', 'Woolworths Three Kings', 'Distribution Centre Auckland']",
6,7,"['Distribution Centre Auckland', 'Metro Halsey Street', 'Metro Albert Street', 'Woolworths Birkenhead', 'Distribution Centre Auckland']",
6,7,"['Distribution Centre Auckland', 'Woolworths Milford', 'Woolworths Takapuna', 'Woolworths Northcote', 'Distribution Centre Auckland']",
6,7,"['Distribution Centre Auckland', 'Woolworths Glenfield', 'Distribution Centre Auckland']",
6,7,"['Distribution Centre Auckland', 'Woolworths Hauraki Corner', 'Distribution Centre Auckland']",
6,7,"['Distribution Centre Auckland', 'Metro Herne Bay', 'Distribution Centre Auckland']",
7,7,"['Distribution Centre Auckland', 'Woolworths Browns Bay', 'Woolworths Mairangi Bay', 'Distribution Centre Auckland']",
7,7,"['Distribution Centre Auckland', 'Woolworths Greville Road', 'Woolworths Sunnynook', 'Distribution Centre Auckland']",
0,8,"['Distribution Centre Auckland', 'Woolworths Ponsonby', 'Woolworths Greenlane', 'Distribution Centre Auckland']",
0,8,"['Distribution Centre Auckland', 'Woolworths Newmarket', 'Woolworths Auckland City', 'FreshChoice Epsom', 'Distribution Centre Auckland']",
0,8,"['Distribution Centre Auckland', 'Woolworths Grey Lynn', 'Woolworths Mt Wellington', 'FreshChoice Glen Eden', 'Distribution Centre Auckland']",
0,8,"['Distribution Centre Auckland', 'Woolworths Pt Chevalier', 'Woolworths St Lukes', 'Distribution Centre Auckland']",
0,8,"['Distribution Centre Auckland', 'Woolworths Auckland Victoria Street West', 'Woolworths Mt Eden', 'Distribution Centre Auckland']",
1,8,"['Distribution Centre Auckland', 'FreshChoice Papakura', 'Woolworths Roselands', 'Distribution Centre Auckland']",
1,8,"['Distribution Centre Auckland', 'Woolworths Waiata Shores', 'Distribution Centre Auckland']",
